run,freq,val
108,900,0.00
108,940,0.00
108,410,1.91
108,435,3.64
108,460,3.74
108,485,6.67
108,510,3.20
108,535,4.30
 
109,610,13.23
109,680,1.97
109,730,0.84
109,760,0.86
109,810,0.85
109,860,0.00
109,560,5.97
109,585,1.91
109,645,2.46
109,705,0.36
109,900,0.00
109,940,0.00
109,410,1.91
109,435,3.64
109,460,3.74
109,485,6.67
109,510,3.20
109,535,4.30
 
110,610,13.23
110,680,1.97
110,730,0.84
110,760,0.86
110,810,0.85
110,860,0.00
110,560,5.97
110,585,1.91
110,645,2.46
110,705,0.36
110,900,0.00
110,940,0.00
110,410,1.91
110,435,3.64
110,460,3.74
110,485,6.67
110,510,3.20
110,535,4.30
 
111,610,13.23
111,680,1.97
111,730,0.84
111,760,0.86
111,810,0.85
111,860,0.00
111,560,5.97
111,585,1.91
111,645,2.46
111,705,0.36
111,900,0.00
111,940,0.00
111,410,0.96
111,435,3.64
111,460,3.74
111,485,5.72
111,510,3.20
111,535,4.30